name\Field	is_start	body	player	is_unitary	market_maker	closed_cycle_ops	public_sector	population	#2025	#2035	constructions	biomass	bioproductivity	biodiversity_fraction	information_fraction	nominal_information	solar_correction	wind_correction	geothermal_correction	time_horizon	facility_class
Type	BOOL	STRING_NAME	TABLE_ROW	BOOL	BOOL	BOOL	FLOAT	ARRAY[FLOAT]	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	FLOAT	TABLE_ROW
Unit											t	t	t/h			Tbit				d	
Default	TRUE						0	0			0	0	0	0	0	0	1.0	1.0	1.0		
Prefix/FACILITY_			PLAYER_																		FACILITY_CLASS_
PLANET_EARTH_USA		PLANET_EARTH	USA		x		0.133	3.40e8	3.40e8	3.55e8	2.0e11	8.30e10	1.97e06	0.07	0.45		0.96	0.977	0.983	30	POLITY
PLANET_EARTH_RUSSIA		PLANET_EARTH	RUSSIA		x		0.406	1.44e8	1.44e8	1.41e8	4.2e10	1.08e11	2.36e06	0.05	0.2		0.32	0.343	0.80	30	POLITY
PLANET_EARTH_CHINA		PLANET_EARTH	CHINA		x		0.3	1.42e9	1.42e9	1.36e9	3.5e11	6.80e10	2.30e06	0.07	0.45		0.80	0.54	0.667	30	POLITY
PLANET_EARTH_EU		PLANET_EARTH	EU		x		0.18	5.25e8	5.25e8	5.20e8	1.4e11	9.30e10	2.20e06	0.06	0.4		0.40	0.803	1.0	30	POLITY
PLANET_EARTH_INDIA		PLANET_EARTH	INDIA		x		0.038	1.45e9	1.45e9	1.55e9	8.0e10	1.70e10	8.50e05	0.09	0.3		0.704	0.503	0.667	30	POLITY
PLANET_EARTH_JAPAN		PLANET_EARTH	JAPAN		x		0.077	1.23e8	1.23e8	1.17e8	4.8e10	3.85e09	1.36e05	0.04	0.35		0.56	0.627	0.933	30	POLITY
PLANET_EARTH_OTHER		PLANET_EARTH	OTHER		x		0.2	4.05e9	4.05e9	4.85e9	2.5e11	6.70e11	1.45e07	0.88	0.4		1.20	0.807	1.0	30	POLITY
PLANET_EARTH_NASA		PLANET_EARTH	NASA	x			1	5.0e4	5.0e4	5.5e4	5e6					1.5e5	0.96	0.977	0.983	30	GROUND_FACILITIES
PLANET_EARTH_ROSCOSMOS		PLANET_EARTH	ROSCOSMOS	x			1	1.75e5	1.75e5	1.50e5	2e6					8e3	0.32	0.343	0.80	30	GROUND_FACILITIES
PLANET_EARTH_CNSA		PLANET_EARTH	CNSA	x			1	3.2e5	3.2e5	3.5e5	3e6					2.5e4	0.80	0.54	0.667	30	GROUND_FACILITIES
PLANET_EARTH_ESA		PLANET_EARTH	ESA	x			1	7.0e4	7.0e4	9.0e4	3.5e6					8e4	0.40	0.803	1.0	30	GROUND_FACILITIES
PLANET_EARTH_ISRO		PLANET_EARTH	ISRO	x			1	2.2e4	2.2e4	2.8e4	8e5					6e3	0.704	0.503	0.667	30	GROUND_FACILITIES
PLANET_EARTH_JAXA		PLANET_EARTH	JAXA	x			1	1.5e4	1.5e4	2.5e4	1.5e6					1.2e4	0.56	0.627	0.933	30	GROUND_FACILITIES
SPACECRAFT_ISS_NASA		SPACECRAFT_ISS	NASA	x		x	1				304.2					30	1.10	1.0	1.0	180	RESEARCH_STATION
SPACECRAFT_ISS_ROSCOSMOS		SPACECRAFT_ISS	ROSCOSMOS	x		x	1				75					15	1.10	1.0	1.0	180	RESEARCH_STATION
SPACECRAFT_ISS_ESA		SPACECRAFT_ISS	ESA	x		x	1				12.5					8	1.10	1.0	1.0	180	RESEARCH_STATION
SPACECRAFT_ISS_JAXA		SPACECRAFT_ISS	JAXA	x		x	1				28.3					8	1.10	1.0	1.0	180	RESEARCH_STATION
SPACECRAFT_TIANGONG_CNSA		SPACECRAFT_TIANGONG	CNSA	x		x	1				66					20	1.10	1.0	1.0	180	RESEARCH_STATION
# 1 per Body per Player, at most																			
