MODULE_\FACILITY_	PLANET_EARTH_USA	PLANET_EARTH_RUSSIA	PLANET_EARTH_CHINA	PLANET_EARTH_EU	PLANET_EARTH_INDIA	PLANET_EARTH_JAPAN	PLANET_EARTH_OTHER	PLANET_EARTH_NASA	PLANET_EARTH_ROSCOSMOS	PLANET_EARTH_CNSA	PLANET_EARTH_ESA	PLANET_EARTH_ISRO	PLANET_EARTH_JAXA	SPACECRAFT_ISS_NASA	SPACECRAFT_ISS_ROSCOSMOS	SPACECRAFT_ISS_ESA	SPACECRAFT_ISS_JAXA	SPACECRAFT_TIANGONG_CNSA
SOLAR_ARRAYS	1.29e5	1.91e3	3.7e5	2.51e5	5.56e4	1.02e5	2.03e5							0.084	0.028			0.030
GEOTHERMAL_PLANTS	2.09e3	54.9	26	1.35e3		624	8.27e3											
HYDROELECTRIC_DAMS	6.95e4	3.03e4	2.53e5	1.48e5	3.03e4	4.90e4	3.91e5											
WIND_FARMS	1.09e5	187	2.65e5	2.07e5	2.92e4	6.08e3	1.01e5											
TIDAL_POWER_STATIONS				275			316											
COMBUSTION_POWER_PLANTS	0;3.67e5;0;1.47e3;3.34e3;1.87e4;1.13e5	0;7.06e4;0;0;0;5.04e3;2.24e4	0;6.27e4;0;0;0;2.18e3;7.41e5	0;1.41e5;0;0;1.41e3;2.33e4;5.46e4	0;1.96e4;0;0;584;0;1.46e5	0;8.40e4;0;0;3.00e3;3.20e4;3.29e4	0;5.75e5;0;4.29e3;1.95e4;1.72e5;2.63e5											
FUEL_CELLS	231;70.2;10			106;0;0		220;0;0												
LEU_NUCLEAR_PLANTS	6.29e4	1.6e4	4.31e4	7.4e4	4.4e3	2.62e4	5.25e4											
HEU_NUCLEAR_REACTORS																		
THORIUM_NUCLEAR_PLANTS																		
D_T_FUSION_PLANTS																		
D_3HE_FUSION_PLANTS																		
3HE_3HE_FUSION_PLANTS																		
RADIOISOTOPE_GENERATORS																		
CONT_SURFACE_MINES	357;42.8;0;742;388;1.56;14.6;0;0;329	460;81.3;4.99;588;406;6.22;3.37;0.0941;41.6;231	1.48e3;348;56;1.97e3;1e3;4.65;52.9;0.517;15.4;2.2e3	204;76.8;3.07;323;98;1.91;0;0.4;70.1;572	1.06e3;168;25.9;257;61.3;1.57;3.52;0;0;197	0;0;0;0;0;0;0;0.120;0;61.5	3.37e3;4.94e3;264;9.9e3;1.3e4;239;43;0.627;28.5;3.7e3											
