POPULATION_\FACILITY_	PLANET_EARTH_USA	PLANET_EARTH_RUSSIA	PLANET_EARTH_CHINA	PLANET_EARTH_EU	PLANET_EARTH_INDIA	PLANET_EARTH_JAPAN	PLANET_EARTH_OTHER	PLANET_EARTH_NASA	PLANET_EARTH_ROSCOSMOS	PLANET_EARTH_CNSA	PLANET_EARTH_ESA	PLANET_EARTH_ISRO	PLANET_EARTH_JAXA	SPACECRAFT_ISS_NASA	SPACECRAFT_ISS_ROSCOSMOS	SPACECRAFT_ISS_ESA	SPACECRAFT_ISS_JAXA	SPACECRAFT_TIANGONG_CNSA
BASE_HUMAN	0.06126;0.1307;0.1353;0.2059;0.198;0.1258;0.1077;0.03538;0.001369/y;0.0001313/y;0.0006965/y;0.001294/y;0.003438/y;0.008812/y;0.02208/y;0.1038/y;0.06755/y	0.06418;0.1044;0.1075;0.2434;0.2063;0.1389;0.1055;0.02989;0.001666/y;0.0002434/y;0.001157/y;0.002754/y;0.008502/y;0.0165/y;0.03879/y;0.1273/y;0.06863/y	0.065;0.1182;0.1315;0.2297;0.2434;0.1116;0.08089;0.01964;0.002121/y;0.000423/y;0.0006037/y;0.0009008/y;0.002884/y;0.008584/y;0.02888/y;0.1196/y;0.06401/y	0.05111;0.1046;0.1117;0.198;0.2167;0.1281;0.1366;0.05302;0.000835/y;9.148e-5/y;0.0003243/y;0.000645/y;0.002414/y;0.007602/y;0.02149/y;0.1047/y;0.05915/y	0.09373;0.1954;0.1882;0.2353;0.1613;0.07137;0.0461;0.008593;0.008829/y;0.0006817/y;0.001132/y;0.001989/y;0.005456/y;0.01566/y;0.04295/y;0.1292/y;0.08803/y	0.04021;0.08823;0.09394;0.1725;0.2087;0.1272;0.1906;0.07866;0.0005356/y;8.486e-5/y;0.0002801/y;0.0005288/y;0.001652/y;0.005027/y;0.01511/y;0.08173/y;0.05324/y	0.1157;0.2052;0.1807;0.2233;0.1529;0.06567;0.04648;0.01001;0.01178/y;0.001455/y;0.001885/y;0.002684/y;0.005513/y;0.01339/y;0.03788/y;0.1255/y;0.1206/y	0.06126;0.1307;0.1353;0.2059;0.198;0.1258;0.1077;0.03538;0.001369/y;0.0001313/y;0.0006965/y;0.001294/y;0.003438/y;0.008812/y;0.02208/y;0.1038/y;0.06755/y	0.06418;0.1044;0.1075;0.2434;0.2063;0.1389;0.1055;0.02989;0.001666/y;0.0002434/y;0.001157/y;0.002754/y;0.008502/y;0.0165/y;0.03879/y;0.1273/y;0.06863/y	0.065;0.1182;0.1315;0.2297;0.2434;0.1116;0.08089;0.01964;0.002121/y;0.000423/y;0.0006037/y;0.0009008/y;0.002884/y;0.008584/y;0.02888/y;0.1196/y;0.06401/y	0.05111;0.1046;0.1117;0.198;0.2167;0.1281;0.1366;0.05302;0.000835/y;9.148e-5/y;0.0003243/y;0.000645/y;0.002414/y;0.007602/y;0.02149/y;0.1047/y;0.05915/y	0.09373;0.1954;0.1882;0.2353;0.1613;0.07137;0.0461;0.008593;0.008829/y;0.0006817/y;0.001132/y;0.001989/y;0.005456/y;0.01566/y;0.04295/y;0.1292/y;0.08803/y	0.04021;0.08823;0.09394;0.1725;0.2087;0.1272;0.1906;0.07866;0.0005356/y;8.486e-5/y;0.0002801/y;0.0005288/y;0.001652/y;0.005027/y;0.01511/y;0.08173/y;0.05324/y					
SUBSENTIENT_ANDROID																		
SENTIENT_AGI																		
VIRTUAL_HUMAN																		
CYBORG																		
EMBODIED_ANDROID																		
EMBODIED_HUMAN																		
MOD_AQUATIC																		
MOD_AMPHIBIOUS																		
@ENTITY_X_ENTITY																		
@DATA_TYPE=ARRAY[FLOAT]																		
@TRANSPOSE																		
# written by tests/calibration/seed_demography.py																		
# each cell: the eight bucket shares; the eight death rates, per year;																		
# the fertility, per year																		
# transposed on import to:																		
# table[facility_type][population_type]																		
