RESOURCE_\FACILITY_	PLANET_EARTH_USA	PLANET_EARTH_RUSSIA	PLANET_EARTH_CHINA	PLANET_EARTH_EU	PLANET_EARTH_INDIA	PLANET_EARTH_JAPAN	PLANET_EARTH_OTHER	PLANET_EARTH_NASA	PLANET_EARTH_ROSCOSMOS	PLANET_EARTH_CNSA	PLANET_EARTH_ESA	PLANET_EARTH_ISRO	PLANET_EARTH_JAXA	SPACECRAFT_ISS_NASA	SPACECRAFT_ISS_ROSCOSMOS	SPACECRAFT_ISS_ESA	SPACECRAFT_ISS_JAXA	SPACECRAFT_TIANGONG_CNSA
ELECTRICITY	6.75e6,7.48e5	1.52e6,1.69e5	1.44e7,1.6e6	4.69e6,5.21e5	2.74e6,3.04e5	2.22e6,2.47e5	1.56e7,1.73e6											
HYDROGEN	5.95e4,6.62e3	2.07e4,2.3e3	1.65e5,1.84e4	4.72e4,5.21e3	3.04e4,3.39e3	1.50e4,1.60e3	1.48e5,1.64e4	3.34e3,0	560,0	1.27e3,0	1.06e3,0	467,0	5.00e2,0					
METHANE	3.14e7,3.48e6	1.18e7,2.91e6	1.01e7,1.14e6	4.58e7,5.07e6	1.87e6,2.1e5	2.00e6,2.20e5	3.59e7,8.58e6	2e3,0		633,0								
METHANOL	1.27e5,1.4e4	9.53e4,2.35e4	1.39e6,1.58e5	7.75e4,8.46e3	4.32e4,4.79e3	3.70e4,4.10e3	8.58e5,2.18e5											
ETHANOL	1.34e6,1.54e5	3.14e4,3.47e3	2.79e5,3.1e4	1.55e5,1.76e4	6.42e4,7.01e3	1.90e4,2.10e3	9.36e5,2.34e5											
LIQ_HYDROCARBONS	1.6e7,1.8e6	8.41e6,2.8e6	2.53e7,2.85e6	2.26e7,2.47e6	8.18e6,8.76e5	9.00e6,1.00e6	6.24e7,1.56e7	2e3,0	2.8e3,0	3.17e3,0	705,0	1.17e3,0	1.00e3,0					
SOLID_FUELS	3.01e4,3.34e3	1.51e4,1.68e3	2.28e4,2.53e3	6.34e3,705	1.05e4,1.17e3	4.50e3,5.00e2	2.11e4,2.34e3	6.68e3,0	2.8e3,0	5.07e3,0	3.52e3,0	2.92e3,0	3.00e3,0					
COAL	6.01e7,6.68e6	1.34e7,3.36e6	1.14e8,1.27e7	2.54e7,2.82e6	3.15e7,3.5e6	1.80e7,2.00e6	7.8e7,2.34e7											
OIL	6.88e7,7.35e6	1.96e7,8.41e6	5.13e7,5.7e6	9.51e7,1.06e7	2.1e7,2.34e6	6.30e7,7.00e6	1.87e8,4.68e7											
LE_URANIUM_FUEL	3.01e6,3.34e5	1.68e6,5.6e5	2.03e6,2.22e5	4.44e6,4.93e5	8.18e5,8.76e4	1.80e6,2.00e5	3.9e6,7.8e5											
