name\Field	is_gross_output	statement	subtotal_group
Type	BOOL	TABLE_ROW	TABLE_ROW
Prefix/FINANCIAL_ITEM_		FINANCIAL_STATEMENT_	FINANCIAL_SUBTOTAL_
ENERGY_REVENUE	x	INCOME	REVENUE
ENERGY_COGS		INCOME	COST_OF_GOODS
EXTRACTION_REVENUE	x	INCOME	REVENUE
EXTRACTION_COGS		INCOME	COST_OF_GOODS
REFINING_REVENUE	x	INCOME	REVENUE
REFINING_COGS		INCOME	COST_OF_GOODS
CONVERSION_REVENUE	x	INCOME	REVENUE
CONVERSION_COGS		INCOME	COST_OF_GOODS
MANUFACTURING_REVENUE	x	INCOME	REVENUE
MANUFACTURING_COGS		INCOME	COST_OF_GOODS
BIOMES_REVENUE	x	INCOME	REVENUE
BIOMES_COGS		INCOME	COST_OF_GOODS
SERVICES_REVENUE	x	INCOME	REVENUE
SERVICES_COGS		INCOME	COST_OF_GOODS
