name\Field	op_class	storage	reconfig_time	reconfig_cost	biological_crew	carrying_capacity	carrying_capacity_group	stratum_group	foldable	operations	maintenance	maintenance_rates	buildout	buildout_qty	buildout_scrap	buildout_scrap_qty	recoverable	recoverable_qty
Type	TABLE_ROW	ARRAY[FLOAT]	FLOAT	FLOAT	FLOAT	FLOAT	TABLE_ROW	TABLE_ROW	BOOL	ARRAY[TABLE_ROW]	ARRAY[TABLE_ROW]	ARRAY[FLOAT]	ARRAY[TABLE_ROW]	ARRAY[FLOAT]	ARRAY[TABLE_ROW]	ARRAY[FLOAT]	ARRAY[TABLE_ROW]	ARRAY[FLOAT]
Unit		t	d	$M								kg/h		t		t		t
Default					0	0												
Prefix/MODULE_	OP_CLASS_						CARRYING_CAPACITY_GROUP_	STRATUM_GROUP_		OPERATION_	RESOURCE_		RESOURCE_		RESOURCE_		RESOURCE_	
SOLAR_ARRAYS	ENERGY	500 MWh;10;10;2;1;0;1								SOLAR_POWER	ELECTRICAL_EQUIPMENT;HEAVY_MACHINERY;STEEL_STRUCTURES	0.047;0.0504;0.141	SOLAR_PANELS;STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT;CONCRETE	41.04;15.12;5.4;6.48	INDUST_WASTE	5.04	STEEL;ALUMINIUM;INDUST_METALS;GLASS_CERAMICS;INDUST_WASTE	13.9;3.8;1.86;11.4;32.04
GEOTHERMAL_PLANTS	ENERGY	500 MWh;10;10;2;1;0;1								GEOTHERMAL_POWER	ELECTRICAL_EQUIPMENT;HEAVY_MACHINERY;STEEL_STRUCTURES	0.047;0.0504;0.141	STEEL_STRUCTURES;HEAVY_MACHINERY;CONCRETE;ELECTRICAL_EQUIPMENT	27;27;27;8.64	INDUST_WASTE	6.64	STEEL;INDUST_METALS;INDUST_WASTE	41.95;3.76;37.29
HYDROELECTRIC_DAMS	ENERGY	500 MWh;10;10;2;1;0;1								HYDROPOWER	ELECTRICAL_EQUIPMENT;HEAVY_MACHINERY;STEEL_STRUCTURES	0.047;0.0504;0.141	CONCRETE;STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT	216;32.4;16.2;8.64	INDUST_WASTE	20.24	STEEL;INDUST_METALS;INDUST_WASTE	39.2;2.96;210.8
WIND_FARMS	ENERGY	500 MWh;10;10;2;1;0;1								WIND_POWER	ELECTRICAL_EQUIPMENT;HEAVY_MACHINERY;STEEL_STRUCTURES	0.047;0.0504;0.141	STEEL_STRUCTURES;CONCRETE;HEAVY_MACHINERY;COMPOSITE_STRUCTURES;ELECTRICAL_EQUIPMENT;RARE_EARTHS	75.6;48.6;32.4;12.96;8.64;0.54	INDUST_WASTE	13.24	STEEL;INDUST_METALS;RARE_EARTHS;INDUST_WASTE	83.7;4.76;0.25;76.79
TIDAL_POWER_STATIONS	ENERGY	500 MWh;10;10;2;1;0;1								TIDAL_POWER	ELECTRICAL_EQUIPMENT;HEAVY_MACHINERY;STEEL_STRUCTURES	0.047;0.0504;0.141	CONCRETE;STEEL_STRUCTURES;HEAVY_MACHINERY;ELECTRICAL_EQUIPMENT	97.2;64.8;43.2;10.8	INDUST_WASTE	16	STEEL;INDUST_METALS;INDUST_WASTE	83;5.4;111.6
COMBUSTION_POWER_PLANTS	ENERGY	500 MWh;150;75;200;100;0;1	365	1.0					x	HYDROGEN_POWER;METHANE_POWER;METHANOL_POWER;ETHANOL_POWER;LIQ_HYDROCARBONS_POWER;OIL_POWER;COAL_POWER	STEEL_STRUCTURES;ELECTRICAL_EQUIPMENT	0.141;0.0352	HEAVY_MACHINERY;STEEL_STRUCTURES;CONCRETE;ELECTRICAL_EQUIPMENT	16.2;10.8;5.4;4.32	INDUST_WASTE	2.72	STEEL;INDUST_METALS;INDUST_WASTE	20.6;2.08;11.32
