name\Field	player_class	is_start	gui_hide	is_playable	polity	homeworld	tax_rate
Type	Enums.PlayerClasses	BOOL	BOOL	BOOL	TABLE_ROW	STRING_NAME	FLOAT
Default		TRUE				PLANET_EARTH	0.2
Unit
Prefix/PLAYER_	PLAYER_CLASS_				PLAYER_
USA	POLITY				USA
RUSSIA	POLITY				RUSSIA
CHINA	POLITY				CHINA
EU	POLITY				EU
INDIA	POLITY				INDIA
JAPAN	POLITY				JAPAN
OTHER	POLITY		x		OTHER
NASA	AGENCY			x	USA
ROSCOSMOS	AGENCY			x	RUSSIA
CNSA	AGENCY			x	CHINA
ESA	AGENCY			x	EU
ISRO	AGENCY			x	INDIA
JAXA	AGENCY			x	JAPAN
# game start
