name\Field	resource_class	unique_type	ai_tags	convert_extraction	trade_class	storage_class	trade_unit	start_price	is_extraction	is_volatile	disposal_sink	waste_form	sort_override	mass_err_mult
Type	TABLE_ROW	Enums.UniqueResources	ARRAY[STRING_NAME]	TABLE_ROW	Enums.TradeClasses	TABLE_ROW	STRING_NAME	INT	BOOL	BOOL	Enums.DisposalSinks	TABLE_ROW	INT	FLOAT
Unit														
Default								0					0	1
Prefix/RESOURCE_	RESOURCE_CLASS_			RESOURCE_	TRADE_CLASS_	STORAGE_CLASS_					DISPOSAL_SINK_	RESOURCE_		
ELECTRICITY	ENERGY	ELECTRICITY	electricity		ELECTRICITY	ELECTRICITY	MWh	38						
HYDROGEN	ENERGY				CRYOGENIC	CRYOGENIC	t	1920	x	x	ATMOSPHERE			
METHANE	ENERGY				CRYOGENIC	CRYOGENIC	t	221	x	x	ATMOSPHERE			
METHANOL	ENERGY				LIQUID	LIQUID	t	350	x	x	SURFACE			
ETHANOL	ENERGY				LIQUID	LIQUID	t	561		x		INDUST_WASTE		
LIQ_HYDROCARBONS	ENERGY				LIQUID	LIQUID	t	642		x		INDUST_WASTE		
SOLID_FUELS	ENERGY				BULK	SPECIAL_HANDLING	t	12000				INDUST_WASTE		
COAL	ENERGY				BULK	BULK	t	73	x		SURFACE			
OIL	ENERGY				LIQUID	LIQUID	t	414	x	x	SURFACE			
LE_URANIUM_FUEL	ENERGY				BULK	SPECIAL_HANDLING	kg	2722						
HE_URANIUM_FUEL	ENERGY				BULK	RADIOACTIVE	kg	14062						
THORIUM_FUEL	ENERGY				BULK	SPECIAL_HANDLING	kg	3000						
DEUTERIUM	ENERGY				PRECIOUS	CRYOGENIC	kg	3000		x				
HELIUM_3	ENERGY				PRECIOUS	CRYOGENIC	g	22500	x	x	ATMOSPHERE			
SPENT_URANIUM_FUEL	ENERGY				BULK	RADIOACTIVE	kg	50						
SPENT_THORIUM_FUEL	ENERGY				BULK	RADIOACTIVE	kg	40						
IRON_NICKEL	ORES				BULK	BULK	t	600	x		SURFACE			
IRON_ORES	ORES				BULK	BULK	t	45	x		SURFACE			
ALUMINIUM_ORES	ORES				BULK	BULK	t	35	x		SURFACE			
INDUST_METAL_ORES	ORES				BULK	BULK	t	350	x		SURFACE			
PRECIOUS_METAL_ORES	ORES				BULK	BULK	t	2500	x		SURFACE			5
RARE_EARTH_ORES	ORES				BULK	BULK	t	2000	x		SURFACE			
URANIUM_ORES	ORES				BULK	BULK	t	3500	x		SURFACE			
SULFUR	ORES				BULK	BULK	t	80	x		SURFACE			
ORGANICS_THOLINS	ORES				BULK	BULK	t	50	x		SURFACE			
INDUST_MINERALS	ORES				BULK	BULK	t	30	x		SURFACE			
STONE	ORES				BULK	BULK	t	15	x		SURFACE		-90	
REGOLITH	ORES				BULK	BULK	t	5	x		SURFACE		-100	
WATER	VOLATILES				ICE	ICE_VOLATILE	t	1	x	x	SURFACE			
OXYGEN	VOLATILES				CRYOGENIC	CRYOGENIC	t	60	x	x	ATMOSPHERE			
NITROGEN	VOLATILES				CRYOGENIC	CRYOGENIC	t	57	x	x	ATMOSPHERE			
CARBON_DIOXIDE	VOLATILES				ICE	ICE_VOLATILE	t	60	x	x	ATMOSPHERE			
CARBON_MONOXIDE	VOLATILES				ICE	ICE_VOLATILE	t	250	x	x	ATMOSPHERE			
AMMONIA	VOLATILES				LIQUID	LIQUID	t	431	x	x	ATMOSPHERE			
ETHANE	VOLATILES				CRYOGENIC	CRYOGENIC	t	304	x	x	ATMOSPHERE			
