name\Field	population	need	stage_weights	in_inventory	in_inventory_rates	in_inventory_groups	in_atmos	in_atmos_rates	out_inventory	out_inventory_rates	out_atmos	out_atmos_rates
Type	TABLE_ROW	TABLE_ROW	ARRAY[FLOAT]	ARRAY[TABLE_ROW]	ARRAY[FLOAT]	ARRAY[INT]	ARRAY[TABLE_ROW]	ARRAY[FLOAT]	ARRAY[TABLE_ROW]	ARRAY[FLOAT]	ARRAY[TABLE_ROW]	ARRAY[FLOAT]
Unit					t/y			t/y		t/y		t/y
Default			1;1;1									
Prefix/WANT_	POPULATION_	NEED_		RESOURCE_			RESOURCE_		RESOURCE_		RESOURCE_	
BASE_HUMAN_SUSTENANCE	BASE_HUMAN	SUSTENANCE		CROP_PROD;ANIMAL_PROD;PACKAGED_MEALS;WATER	0.375;0.177;0.162;0.802	1;1;1;0	OXYGEN	0.307	BIOWASTE	0.622	CARBON_DIOXIDE;WATER	0.365;0.836
BASE_HUMAN_SHELTER	BASE_HUMAN	SHELTER		HUMAN_HABITATION	1 h/h							
BASE_HUMAN_ELECTRICITY	BASE_HUMAN	UTILITIES		ELECTRICITY	9.4e-5 MW							
BASE_HUMAN_UTILITIES	BASE_HUMAN	UTILITIES		UTILITIES_ENV_SERVICES	8.63 h/y							
BASE_HUMAN_HEALTH	BASE_HUMAN	HEALTH	0.5;1;2.7	HEALTHCARE	34.3 h/y							
BASE_HUMAN_ORDER	BASE_HUMAN	ORDER		PUBLIC_GOV_SERVICES;LEGAL_SERVICES;INSURANCE_RISK	55.2 h/y;8.32 h/y;10.4 h/y							
BASE_HUMAN_GOODS	BASE_HUMAN	GOODS		CONSUMER_GOODS;SPECIALTY_GOODS;ARTISANAL_GOODS;ARTISANAL_FOODS	0.0566;0.0100;0.00697;0.0131				MUNICIPAL_WASTE	0.0874		
BASE_HUMAN_GOODS_SERVICES	BASE_HUMAN	GOODS		RETAIL_SERVICES;PERSONAL_SERVICES	57.9 h/y;32.2 h/y							
BASE_HUMAN_MOBILITY_SERVICES	BASE_HUMAN	MOBILITY		PASSENGER_SERVICES;TELECOMMUNICATIONS	12.9 h/y;3.86 h/y							
BASE_HUMAN_DRIVING	BASE_HUMAN	MOBILITY		LIQ_HYDROCARBONS;TRANSPORT_SYSTEMS	0.126;0.0117		OXYGEN	0.430			CARBON_DIOXIDE;WATER	0.397;0.163
BASE_HUMAN_LEARNING	BASE_HUMAN	LEARNING	1;0.4;0	EDUCATION	68.6 h/y							
BASE_HUMAN_LEISURE	BASE_HUMAN	LEISURE		ENTERTAINMENT;HOSPITALITY;BROADCAST_STREAMING	12.9 h/y;40.4 h/y;5.96 h/y							
BASE_HUMAN_FINANCE	BASE_HUMAN	FINANCE		FINANCIAL_SERVICES	15.6 h/y							
